Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0001,
Horizontal Delay,0.0003,
Sample Interval,1e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.000e-04,0.08,0.4
-1.999e-04,0.16,0.2
-1.998e-04,0.16,0.2
-1.997e-04,0.08,0.4
-1.996e-04,0.08,0.4
-1.995e-04,0.08,0.4
-1.994e-04,0.16,0.2
-1.993e-04,0.08,0.6
-1.992e-04,0.08,0.4
-1.991e-04,0,0.2
-1.990e-04,0.08,0.2
-1.989e-04,0.08,0.4
-1.988e-04,0.16,0.2
-1.987e-04,0.16,0.2
-1.986e-04,0.16,0.6
-1.985e-04,0.08,0.2
-1.984e-04,0.24,0.2
-1.983e-04,0.16,0.2
-1.982e-04,0.08,0.2
-1.981e-04,0.08,0.4
-1.980e-04,0.16,0.2
-1.979e-04,0.16,0.2
-1.978e-04,0.16,0.4
-1.977e-04,0.08,0.2
-1.976e-04,0.08,0.2
-1.975e-04,0.08,0.2
-1.974e-04,0.08,0.2
-1.973e-04,0.08,0.2
-1.972e-04,0.16,0.2
-1.971e-04,0.08,0.2
-1.970e-04,0.16,0.2
-1.969e-04,0.24,0.2
-1.968e-04,0.08,0.2
-1.967e-04,0.08,0.4
-1.966e-04,0.24,0.4
-1.965e-04,0.16,0.2
-1.964e-04,0.08,0.2
-1.963e-04,0.08,0.2
-1.962e-04,0.08,0.2
-1.961e-04,0.16,0.2
-1.960e-04,0.08,0.2
-1.959e-04,0.08,0.6
-1.958e-04,0.16,0.4
-1.957e-04,0.16,0.2
-1.956e-04,0.08,0.2
-1.955e-04,0.08,0.2
-1.954e-04,0.08,0.4
-1.953e-04,0.16,0.4
-1.952e-04,0.16,0.2
-1.951e-04,0.08,0.4
-1.950e-04,0.16,0.2
-1.949e-04,0.08,0.4
-1.948e-04,0.08,0.2
-1.947e-04,0.08,0
-1.946e-04,0.16,0.2
-1.945e-04,0.16,0.2
-1.944e-04,0.08,0.2
-1.943e-04,0.16,0.2
-1.942e-04,0.16,0.2
-1.941e-04,0.16,0
-1.940e-04,0.08,0.2
-1.939e-04,0.32,0.2
-1.938e-04,0.08,0.4
-1.937e-04,0.08,0.4
-1.936e-04,0.08,0.4
-1.935e-04,0.08,0.2
-1.934e-04,0.08,0.4
-1.933e-04,0.16,0.4
-1.932e-04,0.08,0.2
-1.931e-04,0.08,0.2
-1.930e-04,0.08,0
-1.929e-04,0.24,0.2
-1.928e-04,0.24,0.2
-1.927e-04,0.16,0.2
-1.926e-04,0.08,0.2
-1.925e-04,0.16,0.2
-1.924e-04,0.08,0.2
-1.923e-04,0.16,0
-1.922e-04,0.08,0.2
-1.921e-04,0.08,0.4
-1.920e-04,0.08,0.4
-1.919e-04,0.08,0.2
-1.918e-04,0.16,0.2
-1.917e-04,0.08,0.2
-1.916e-04,0.16,0.2
-1.915e-04,0.08,0.4
-1.914e-04,0.16,0.2
-1.913e-04,0.16,0.4
