Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,6e-06,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.0000e-06,0.16,0.16
-3.9980e-06,0.16,0.16
-3.9960e-06,0.16,0.08
-3.9940e-06,0.16,0.16
-3.9920e-06,0.24,0.16
-3.9900e-06,0.16,0.16
-3.9880e-06,0.16,0.16
-3.9860e-06,0.16,0.16
-3.9840e-06,0.08,0.24
-3.9820e-06,0.08,0.16
-3.9800e-06,0.16,0.16
-3.9780e-06,0.16,0.16
-3.9760e-06,0.16,0.24
-3.9740e-06,0.16,0.16
-3.9720e-06,0.16,0.16
-3.9700e-06,0.16,0.24
-3.9680e-06,0.16,0.16
-3.9660e-06,0.16,0.16
-3.9640e-06,0.08,0.16
-3.9620e-06,0.16,0.16
-3.9600e-06,0.08,0.16
-3.9580e-06,0.24,0.24
-3.9560e-06,0.24,0.08
-3.9540e-06,0.16,0.16
-3.9520e-06,0.16,0.16
-3.9500e-06,0.16,0.16
-3.9480e-06,0.08,0.16
-3.9460e-06,0.08,0.16
-3.9440e-06,0.16,0.08
-3.9420e-06,0.08,0.16
-3.9400e-06,0.08,0.16
-3.9380e-06,0.16,0.16
-3.9360e-06,0.16,0.16
-3.9340e-06,0.08,0.16
-3.9320e-06,0.08,0.24
-3.9300e-06,0.16,0.08
-3.9280e-06,0.16,0.16
-3.9260e-06,0.16,0.16
-3.9240e-06,0,0.16
-3.9220e-06,0.16,0.16
-3.9200e-06,0.16,0.16
-3.9180e-06,0.08,0.24
-3.9160e-06,0.08,0.16
-3.9140e-06,0.16,0.16
-3.9120e-06,0.08,0.24
-3.9100e-06,0.16,0.16
-3.9080e-06,0.08,0.16
-3.9060e-06,0.16,0.16
-3.9040e-06,0.16,0.16
-3.9020e-06,0.16,0.16
-3.9000e-06,0.08,0.16
-3.8980e-06,0.08,0.08
-3.8960e-06,0.16,0.16
-3.8940e-06,0.08,0.16
-3.8920e-06,0.08,0.16
-3.8900e-06,0.08,0.08
-3.8880e-06,0.08,0.16
-3.8860e-06,0.16,0.16
-3.8840e-06,0.16,0.16
-3.8820e-06,0.16,0.08
-3.8800e-06,0.16,0.16
-3.8780e-06,0.24,0.08
-3.8760e-06,0.08,0.08
-3.8740e-06,0.16,0.08
-3.8720e-06,0.16,0.16
-3.8700e-06,0.08,0.08
-3.8680e-06,0.16,0.16
-3.8660e-06,0.16,0.16
-3.8640e-06,0.16,0.16
-3.8620e-06,0.08,0.16
-3.8600e-06,0.16,0.08
-3.8580e-06,0.16,0
-3.8560e-06,0.08,0.24
-3.8540e-06,0.16,0.16
-3.8520e-06,0.16,0.16
-3.8500e-06,0.16,0.16
-3.8480e-06,0.24,0.16
-3.8460e-06,0.16,0.24
-3.8440e-06,0.16,0.16
-3.8420e-06,0.16,0.24
-3.8400e-06,0.08,0.16
-3.8380e-06,0.24,0.16
-3.8360e-06,0.08,0.16
