Time,Volt
-4.240e-06,0.159063
-4.238e-06,-0.0003125
-4.236e-06,0.120313
-4.234e-06,0.0803125
-4.232e-06,-0.0009375
-4.230e-06,0.159375
-4.228e-06,0.0403125
-4.226e-06,0.08
-4.224e-06,0.0815625
-4.222e-06,0.2
-4.220e-06,0.079375
-4.218e-06,0.19625
-4.216e-06,0.241563
-4.214e-06,0.08
-4.212e-06,0.001875
-4.210e-06,0.280625
-4.208e-06,0.159688
-4.206e-06,0.20125
-4.204e-06,0
-4.202e-06,0.121562
-4.200e-06,0.119063
-4.198e-06,0.12125
-4.196e-06,0.23875
-4.194e-06,0.120938
-4.192e-06,0.39875
-4.190e-06,0.162188
-4.188e-06,0.12
-4.186e-06,0.16
-4.184e-06,0.160312
-4.182e-06,0.240937
-4.180e-06,0.24
-4.178e-06,0.1575
-4.176e-06,0.319688
-4.174e-06,0.198438
-4.172e-06,0.200937
-4.170e-06,0.158438
-4.168e-06,0.160625
-4.166e-06,0.27875
-4.164e-06,0.239063
-4.162e-06,0.2
-4.160e-06,0.19875
-4.158e-06,0.119687
-4.156e-06,0.200937
-4.154e-06,0.24
-4.152e-06,0.16125
-4.150e-06,0.12
-4.148e-06,0.0803125
-4.146e-06,0.200937
-4.144e-06,0.2
-4.142e-06,0.24
-4.140e-06,0.2
-4.138e-06,0.159375
-4.136e-06,0.200625
-4.134e-06,0.120313
-4.132e-06,0.321563
-4.130e-06,0.19625
-4.128e-06,0.079375
-4.126e-06,0.32125
-4.124e-06,0.0384375
-4.122e-06,0.241563
-4.120e-06,0.239688
-4.118e-06,0.27875
-4.116e-06,0.200937
-4.114e-06,0.400625
-4.112e-06,0.2425
-4.110e-06,0.160312
-4.108e-06,0.160625
-4.106e-06,0.200625
-4.104e-06,0.199063
-4.102e-06,0.119687
-4.100e-06,0.119687
-4.098e-06,0.199375
-4.096e-06,0.240313
-4.094e-06,0.238125
-4.092e-06,0.16125
-4.090e-06,0.280625
-4.088e-06,0.2
-4.086e-06,0.198438
-4.084e-06,0.24
-4.082e-06,0.198125
-4.080e-06,0.161875
-4.078e-06,0.320937
-4.076e-06,0.23875
-4.074e-06,0.2
-4.072e-06,0.200312
-4.070e-06,0.159688
-4.068e-06,0.160312
-4.066e-06,0.15875
-4.064e-06,0.122188
-4.062e-06,0.320937
-4.060e-06,0.200937
-4.058e-06,0.20125
-4.056e-06,0.039375
-4.054e-06,0.162188
-4.052e-06,0.239063
-4.050e-06,0.240625
-4.048e-06,0.319688
-4.046e-06,0.17125
-4.044e-06,0.0428125
-4.042e-06,0.280313
-4.040e-06,0.078125
-4.038e-06,0.20125
-4.036e-06,0.24
-4.034e-06,0.240937
